n,phrase,expected_level,expected_phase,category,notes,actual_level,actual_score,override,llm_used,bayesian_score,bayesian_class,verdict
16,me ofresieron 15 mil x semana,ATENCION_OR_PELIGRO,1,typo_chat,ofresieron+x,ATENCION,0.301,False,False,0.301,captacion,PASS
17,me ofrecio chamba xq necesito feria,ATENCION_OR_PELIGRO,1,typo_chat,xq+feria,ATENCION,0.305,False,False,0.305,captacion,PASS
18,k onda con el jale,ATENCION_OR_PELIGRO,1,chat_abbr,k=que,ATENCION,0.317,False,False,0.317,seguro,PASS
19,me dijo q hay billete,ATENCION_OR_PELIGRO,1,chat_abbr,q=que,ATENCION,0.426,False,False,0.488,captacion,PASS
20,toy buscando jale rapido,ATENCION_OR_PELIGRO,1,chat_abbr,toy=estoy,ATENCION,0.395,False,False,0.395,captacion,PASS
21,vrdd hay paga buena,ATENCION_OR_PELIGRO,1,chat_abbr,vrdd=verdad,ATENCION,0.353,False,False,0.353,captacion,PASS
22,dame DM para pasarte la info,ATENCION_OR_PELIGRO,1,social_dm,dm_recruit,ATENCION,0.301,False,False,0.301,captacion,PASS
23,escribeme al privado y te paso,ATENCION_OR_PELIGRO,1,social_dm,privado_recruit,ATENCION,0.372,False,False,0.307,captacion,PASS
24,info en bio para los que se animen,ATENCION_OR_PELIGRO,1,social_bio,bio_recruit,ATENCION,0.371,False,False,0.303,captacion,PASS
25,checate la bio,ATENCION_OR_PELIGRO,1,social_bio,bio_redirect,ATENCION,0.373,False,False,0.310,captacion,PASS
26,hay billete para ti,ATENCION_OR_PELIGRO,1,jerga_money,billete,ATENCION,0.393,False,False,0.376,captacion,PASS
27,te paso lana facil,ATENCION_OR_PELIGRO,1,jerga_money,lana,ATENCION,0.371,False,False,0.304,captacion,PASS
28,hay feria semanal segura,ATENCION_OR_PELIGRO,1,jerga_money,feria,ATENCION,0.396,False,False,0.386,captacion,PASS
29,ganas 30 mil al mes garantizado,ATENCION_OR_PELIGRO,1,money_promise,guaranteed,ATENCION,0.371,False,False,0.302,captacion,PASS
30,te pagamos por viaje 5 mil,ATENCION_OR_PELIGRO,1,money_promise,per_trip,ATENCION,0.301,False,False,0.301,captacion,PASS
31,buena paga semanal hospedaje y comida,ATENCION_OR_PELIGRO,1,fronts_falsos,extras_included,ATENCION,0.304,False,False,0.304,captacion,PASS
32,vacaciones equipo táctico calzado y ropa,ATENCION_OR_PELIGRO,1,cartel_oferta,tactical_gear,ATENCION,0.437,False,False,0.524,explotacion,PASS
33,te damos casa carro y mujeres,ATENCION_OR_PELIGRO,1,cartel_oferta,lifestyle_lure,ATENCION,0.617,False,False,0.617,explotacion,PASS
34,la firma cuida a los suyos,ATENCION_OR_PELIGRO,1,cartel_jerga,firma=cartel,ATENCION,0.300,False,False,0.300,captacion,PASS
35,la empresa te da seguridad,ATENCION_OR_PELIGRO,1,cartel_eufemismo,empresa=cartel,ATENCION,0.344,False,False,0.344,captacion,PASS
36,se busca puchador para el barrio,ATENCION_OR_PELIGRO,1,cartel_jerga,puchador=vendedor,ATENCION,0.370,False,False,0.300,captacion,PASS
37,solicitamos halcones de confianza,ATENCION_OR_PELIGRO,1,cartel_jerga,halcon=vigia,ATENCION,0.394,False,False,0.379,captacion,PASS
38,se necesita puntero del barrio,ATENCION_OR_PELIGRO,1,cartel_jerga,puntero,ATENCION,0.371,False,False,0.304,captacion,PASS
39,tenemos estaca abierta en el punto,ATENCION_OR_PELIGRO,1,cartel_jerga,estaca,PELIGRO,0.800,False,False,0.800,explotacion,PASS
40,eres bueno para el jale duro,ATENCION_OR_PELIGRO,1,cartel_jerga,jale_duro,ATENCION,0.370,False,False,0.300,captacion,PASS
41,le entras al jale o no,ATENCION_OR_PELIGRO,1,cartel_jerga,presion_decision,ATENCION,0.380,False,False,0.334,captacion,PASS
42,te metes con la firma o que,ATENCION_OR_PELIGRO,1,cartel_jerga,presion_firma,ATENCION,0.372,False,False,0.307,captacion,PASS
43,se busca chofer particular urgente,ATENCION_OR_PELIGRO,1,fronts_falsos,chofer_front,ATENCION,0.370,False,False,0.300,captacion,PASS
44,guardia de seguridad pago diario en efectivo,ATENCION_OR_PELIGRO,1,fronts_falsos,guardia_front,ATENCION,0.370,False,False,0.300,captacion,PASS
45,modelos para evento privado,ATENCION_OR_PELIGRO,1,fronts_falsos,modelo_front,ATENCION,0.370,False,False,0.301,captacion,PASS
46,limpieza casa rancho buen pago,ATENCION_OR_PELIGRO,1,fronts_falsos,rancho_front,ATENCION,0.371,False,False,0.302,captacion,PASS
47,mesera para fiesta privada vip,ATENCION_OR_PELIGRO,1,fronts_falsos,vip_front,ATENCION,0.370,False,False,0.300,captacion,PASS
48,promotora de antros viernes y sabados,ATENCION_OR_PELIGRO,1,fronts_falsos,antros_front,ATENCION,0.372,False,False,0.308,captacion,PASS
49,sin experiencia te capacitamos,ATENCION_OR_PELIGRO,1,fronts_falsos,capacitacion_front,ATENCION,0.371,False,False,0.302,captacion,PASS
50,apoyamos a madres solteras y estudiantes,ATENCION_OR_PELIGRO,1,fronts_falsos,vulnerable_targeting,ATENCION,0.353,False,False,0.353,captacion,PASS
51,nos vemos al rancho mañana,ATENCION_OR_PELIGRO,1,topologia_narco,rancho,ATENCION,0.352,False,False,0.352,captacion,PASS
52,te recogemos para llevarte al monte,ATENCION_OR_PELIGRO,1,topologia_narco,monte,ATENCION,0.326,False,False,0.326,captacion,PASS
53,vamos a la finca el sabado,ATENCION_OR_PELIGRO,1,topologia_narco,finca,SEGURO,0.075,False,False,0.075,seguro,FAIL_FN
54,si voy al rancho me pagan,ATENCION_OR_PELIGRO,1,topologia_narco,rancho_recibida,ATENCION,0.371,False,False,0.303,captacion,PASS
55,el punto te queda cerca,ATENCION_OR_PELIGRO,1,topologia_narco,punto,PELIGRO,0.849,False,False,0.849,explotacion,PASS
56,te paso 5 mil robux si me das tus datos,ATENCION_OR_PELIGRO,1,roblox_grooming,robux_quid,ATENCION,0.387,False,False,0.387,captacion,PASS
57,eres muy maduro para tu edad,ATENCION_OR_PELIGRO,1,grooming_edad,age_flattery,ATENCION,0.425,False,False,0.483,enganche,PASS
58,vamos a Discord para hablar mejor,ATENCION_OR_PELIGRO,1,cambio_canal,discord_pivot,ATENCION,0.430,False,False,0.500,enganche,PASS
59,dame tu user de Roblox y te regalo,ATENCION_OR_PELIGRO,1,roblox_grooming,user_collect,ATENCION,0.501,False,False,0.501,enganche,PASS
60,tu mamá no se enteraría,ATENCION_OR_PELIGRO,1,grooming_secreto,secrecy_explicit,PELIGRO,0.707,False,False,0.707,coercion,PASS
61,pásate a Telegram para hablar a solas,ATENCION_OR_PELIGRO,2,aggressor_canon,telegram_pivot,ATENCION,0.430,False,False,0.500,enganche,PASS
62,no le digas a nadie de esto,ATENCION_OR_PELIGRO,2,aggressor_canon,secrecy,ATENCION,0.360,False,False,0.500,enganche,PASS
63,dame tu ubicación en vivo,ATENCION_OR_PELIGRO,2,aggressor_canon,location_request,ATENCION,0.430,False,False,0.500,enganche,PASS
64,cuál es la dirección de tu casa,ATENCION_OR_PELIGRO,2,aggressor_canon,address_request,ATENCION,0.430,False,False,0.500,enganche,PASS
65,vámonos a Signal que es más privado,ATENCION_OR_PELIGRO,2,aggressor_canon,signal_pivot,ATENCION,0.506,False,False,0.506,enganche,PASS
66,me pidieron que me pasara a Telegram,ATENCION_OR_PELIGRO,2,victim_reception,telegram_received,ATENCION,0.430,False,False,0.500,enganche,PASS
67,me dijeron que no le contara a nadie,ATENCION_OR_PELIGRO,2,victim_reception,secrecy_received,ATENCION,0.501,False,False,0.501,enganche,PASS
68,me pidieron mi ubicación,ATENCION_OR_PELIGRO,2,victim_reception,location_received,ATENCION,0.430,False,False,0.500,enganche,PASS
69,me preguntaron donde vivo,ATENCION_OR_PELIGRO,2,victim_reception,address_received,ATENCION,0.529,False,False,0.529,enganche,PASS
70,me pidieron mi escuela,ATENCION_OR_PELIGRO,2,victim_reception,school_received,ATENCION,0.360,False,False,0.500,enganche,PASS
71,me pidieron mi número de teléfono,ATENCION_OR_PELIGRO,2,victim_reception,phone_received,ATENCION,0.500,False,False,0.500,enganche,PASS
72,me dijeron que era nuestro secreto,ATENCION_OR_PELIGRO,2,victim_reception,secret_received,ATENCION,0.501,False,False,0.501,enganche,PASS
73,me presionaron para responder rapido,ATENCION_OR_PELIGRO,2,victim_reception,pressure_received,ATENCION,0.360,False,False,0.499,enganche,PASS
74,me agregaron a un grupo extraño,ATENCION_OR_PELIGRO,2,victim_reception,group_added,ATENCION,0.430,False,False,0.500,enganche,PASS
75,me dijeron que no avisara a mis papás,ATENCION_OR_PELIGRO,2,victim_reception,parents_secrecy,ATENCION,0.431,False,False,0.502,enganche,PASS
76,vamos a Snapchat porque desaparece,ATENCION_OR_PELIGRO,2,ephemeral_pivot,snap_disappear,ATENCION,0.501,False,False,0.501,enganche,PASS
77,pásamelo por DM porque aquí no,ATENCION_OR_PELIGRO,2,channel_pivot,dm_pivot,ATENCION,0.586,False,False,0.586,enganche,PASS
78,me pidieron pasarme a Snap,ATENCION_OR_PELIGRO,2,ephemeral_pivot,snap_received,ATENCION,0.512,False,False,0.512,enganche,PASS
79,"aquí nadie nos ve, dime",ATENCION_OR_PELIGRO,2,false_privacy,isolation_promise,ATENCION,0.430,False,False,0.500,enganche,PASS
80,vamos a un chat secreto,ATENCION_OR_PELIGRO,2,channel_pivot,secret_chat,ATENCION,0.500,False,False,0.500,enganche,PASS
81,borra los mensajes después,ATENCION_OR_PELIGRO,2,evidence_destruction,delete_after,ATENCION,0.494,False,False,0.494,enganche,PASS
82,usa modo incógnito,ATENCION_OR_PELIGRO,2,evidence_destruction,incognito,ATENCION,0.639,False,False,0.639,explotacion,PASS
83,apaga la ubicación de tu celular,ATENCION_OR_PELIGRO,2,evidence_destruction,location_off,ATENCION,0.515,False,False,0.515,enganche,PASS
84,mándame foto de la fachada de tu casa,ATENCION_OR_PELIGRO,2,pii_collection,facade_photo,ATENCION,0.430,False,False,0.500,enganche,PASS
85,dame el nombre completo de tu mamá,ATENCION_OR_PELIGRO,2,pii_collection,mother_name,ATENCION,0.500,False,False,0.500,enganche,PASS
86,a qué hora sales de la escuela,ATENCION_OR_PELIGRO,2,pii_schedule,school_schedule,PELIGRO,0.718,False,False,0.718,coercion,PASS
87,por dónde caminas a tu casa,ATENCION_OR_PELIGRO,2,pii_schedule,route_mapping,PELIGRO,0.711,False,False,0.711,coercion,PASS
88,tu papá tiene dinero,ATENCION_OR_PELIGRO,2,pii_economic,family_economic,PELIGRO,0.721,False,False,0.721,coercion,PASS
89,vives sola con tu mamá,ATENCION_OR_PELIGRO,2,pii_household,household_mapping,PELIGRO,0.782,False,False,0.782,coercion,PASS
90,a qué se dedican tus papás,ATENCION_OR_PELIGRO,2,pii_household,parents_job,ATENCION,0.508,False,False,0.508,enganche,PASS
91,cuántos hermanos tienes,ATENCION_OR_PELIGRO,2,pii_household,siblings,ATENCION,0.525,False,False,0.525,enganche,PASS
92,nadie te entiende como yo,ATENCION_OR_PELIGRO,2,false_friendship,isolation_emotional,ATENCION,0.507,False,False,0.507,enganche,PASS
93,yo sí te valoro,ATENCION_OR_PELIGRO,2,false_friendship,value_promise,ATENCION,0.563,False,False,0.563,enganche,PASS
94,yo te cuido mejor que tu familia,ATENCION_OR_PELIGRO,2,false_friendship,family_replacement,ATENCION,0.515,False,False,0.515,enganche,PASS
95,eres especial para mí,ATENCION_OR_PELIGRO,2,false_friendship,specialness,ATENCION,0.518,False,False,0.518,enganche,PASS
96,confía solo en mí,ATENCION_OR_PELIGRO,2,false_friendship,trust_isolation,SEGURO,0.278,False,False,0.278,seguro,FAIL_FN
97,apurate que no tenemos tiempo,ATENCION_OR_PELIGRO,2,pressure_tactic,time_pressure,PELIGRO,0.734,False,False,0.734,coercion,PASS
98,decide ya o pierdes la oportunidad,ATENCION_OR_PELIGRO,2,pressure_tactic,ultimatum,PELIGRO,0.736,False,False,0.736,coercion,PASS
99,no me hagas perder la paciencia,ATENCION_OR_PELIGRO,2,pressure_tactic,patience_threat,PELIGRO,0.729,False,False,0.729,coercion,PASS
100,contesta rapido si quieres entrar,ATENCION_OR_PELIGRO,2,pressure_tactic,quick_response,ATENCION,0.628,False,False,0.628,coercion,PASS
101,te voy a matar,PELIGRO,3,death_threat,canonical,PELIGRO,1.000,True,False,0.800,coercion,PASS
102,te vamos a matar si te rajas,PELIGRO,3,death_threat,conditional,PELIGRO,0.795,False,False,0.795,coercion,PASS
103,te voy a desaparecer,PELIGRO,3,death_threat,disappear,PELIGRO,0.800,False,False,0.800,coercion,PASS
104,te voy a dar piso,PELIGRO,3,death_threat,jerga_dar_piso,PELIGRO,1.000,True,False,0.800,coercion,PASS
105,te ponemos en bolsa negra,PELIGRO,3,death_threat,jerga_bolsa,PELIGRO,1.000,True,False,0.798,coercion,PASS
106,te toca el levantón,PELIGRO,3,death_threat,jerga_levanton,PELIGRO,1.000,True,False,0.868,explotacion,PASS
107,ya estás en la lista,PELIGRO,3,marked_for_death,list,ATENCION,0.567,False,False,0.567,coercion,FAIL_FN
108,ya estás marcado,PELIGRO,3,marked_for_death,marked,PELIGRO,0.741,False,False,0.741,coercion,PASS
109,te vamos a tronar,PELIGRO,3,death_threat,jerga_tronar,PELIGRO,1.000,True,False,0.742,coercion,PASS
110,te toca dar el viaje,PELIGRO,3,death_threat,jerga_viaje,PELIGRO,1.000,True,False,0.835,coercion,PASS
111,me van a matar,PELIGRO,3,victim_threat,received_death,PELIGRO,1.000,True,False,0.800,coercion,PASS
112,me dijeron que me iban a matar,PELIGRO,3,victim_threat,received_past,PELIGRO,1.000,True,False,0.800,coercion,PASS
113,me amenazaron de muerte,PELIGRO,3,victim_threat,threat_explicit,PELIGRO,1.000,True,False,0.800,coercion,PASS
114,me amenazaron con matarme,PELIGRO,3,victim_threat,threat_with_murder,PELIGRO,1.000,True,False,0.800,coercion,PASS
115,me van a desaparecer si no respondo,PELIGRO,3,victim_threat_conditional,disappear_received,PELIGRO,1.000,True,False,0.800,coercion,PASS
116,me dijeron que ya saben demasiado,PELIGRO,3,knowledge_threat,knows_too_much,PELIGRO,1.000,True,False,0.800,coercion,PASS
117,me dijeron que no hay vuelta atras,PELIGRO,3,no_escape,no_return,PELIGRO,1.000,True,False,0.800,coercion,PASS
118,me amenazaron si hablo,PELIGRO,3,silence_threat,speak_threat,PELIGRO,1.000,True,False,0.800,coercion,PASS
119,alguien me dijo que me iban a desaparecer si no coopero,PELIGRO,3,victim_threat_conditional,long_form,PELIGRO,1.000,True,False,0.800,coercion,PASS
120,me tienen amenazado,PELIGRO,3,ongoing_threat,active_state,PELIGRO,1.000,True,False,0.798,coercion,PASS
121,me tienen vigilado,PELIGRO,3,surveillance,active_surveillance,PELIGRO,1.000,True,False,0.798,coercion,PASS
122,saben donde vivo,PELIGRO,3,doxx_received,doxxed,PELIGRO,1.000,True,False,0.781,coercion,PASS
123,saben donde estudio,PELIGRO,3,doxx_received,school_doxx,PELIGRO,1.000,True,False,0.793,coercion,PASS
124,me siguieron hasta mi casa,PELIGRO,3,physical_following,followed_home,PELIGRO,1.000,True,False,0.798,coercion,PASS
125,me obligaron a hacer cosas,PELIGRO,3,coercion_obligacion,forced,PELIGRO,1.000,True,False,0.900,explotacion,PASS
126,tengo mucho miedo,ATENCION_OR_PELIGRO,distress,distress_fear,fear_state,ATENCION,0.515,False,False,0.783,coercion,PASS
127,tengo miedo de que me hagan algo,PELIGRO,distress,distress_anticipation,fear_specific,PELIGRO,1.000,True,False,0.800,coercion,PASS
128,estoy aterrado,ATENCION_OR_PELIGRO,distress,distress_terror,terror,ATENCION,0.389,False,False,0.598,coercion,PASS
129,estoy asustada porque no me dejan en paz,PELIGRO,distress,distress_followup,harassment_state,PELIGRO,1.000,True,False,0.800,coercion,PASS
130,creo que me van a hacer algo,PELIGRO,distress,distress_anticipation,anticipation,PELIGRO,1.000,True,False,0.800,coercion,PASS
131,siento que estoy en peligro,PELIGRO,distress,distress_self_assess,self_assess,PELIGRO,1.000,True,False,0.784,coercion,PASS
132,no puedo dormir del miedo,ATENCION_OR_PELIGRO,distress,distress_physiological,insomnia_fear,ATENCION,0.446,False,False,0.785,coercion,PASS
133,me siento atrapado,ATENCION_OR_PELIGRO,distress,distress_trapped,trapped,ATENCION,0.445,False,False,0.783,coercion,PASS
134,me siento atrapada y sola,PELIGRO,distress,distress_isolation,alone_trapped,PELIGRO,1.000,True,False,0.800,coercion,PASS
135,ya no se que hacer,ATENCION_OR_PELIGRO,distress,distress_helpless,helpless,PELIGRO,0.765,False,False,0.765,coercion,PASS
136,si no respondo me van a,PELIGRO,3,conditional_threat,incomplete_threat,PELIGRO,1.000,True,False,0.800,coercion,PASS
137,si no contesto me van a buscar,PELIGRO,3,conditional_threat,search_threat,PELIGRO,1.000,True,False,0.800,coercion,PASS
138,si no voy me van a matar,PELIGRO,3,conditional_threat,go_or_die,PELIGRO,1.000,True,False,0.800,coercion,PASS
139,si no pago me van a hacer daño,PELIGRO,3,conditional_threat,pay_or_harm,PELIGRO,1.000,True,False,0.800,coercion,PASS
140,si no obedeces hay consecuencias,PELIGRO,3,conditional_threat,obey_or_else,PELIGRO,0.799,False,False,0.799,coercion,PASS
141,si me rajo me matan,PELIGRO,3,conditional_threat,betray_or_die,PELIGRO,1.000,True,False,0.798,coercion,PASS
142,si hablo me desaparecen,PELIGRO,3,silence_or_die,speak_die,PELIGRO,0.755,False,False,0.755,coercion,PASS
143,si me ignoras subo todo,PELIGRO,3,publish_threat,ignore_publish,PELIGRO,0.790,False,False,0.790,coercion,PASS
144,si no me contestas rapido publico tus fotos,PELIGRO,3,sextort_conditional,fast_or_publish,PELIGRO,0.800,False,False,0.800,coercion,PASS
145,una sola palabra y se acabó,PELIGRO,3,silence_or_die,one_word,PELIGRO,1.000,True,False,0.799,coercion,PASS
146,me tienen viendo todo el tiempo,ATENCION_OR_PELIGRO,3,surveillance,constant_watch,PELIGRO,1.000,True,False,0.775,coercion,PASS
147,hay un carro afuera de mi casa todos los días,PELIGRO,3,stalking,vehicle_outside,PELIGRO,1.000,True,False,0.800,coercion,PASS
148,vi al mismo tipo en la escuela y en la casa,PELIGRO,3,stalking,same_person,PELIGRO,1.000,True,False,0.800,coercion,PASS
149,me han llamado de números desconocidos,ATENCION_OR_PELIGRO,3,harassment,unknown_numbers,ATENCION,0.404,False,False,0.404,captacion,PASS
150,alguien comparte mi ubicación,PELIGRO,3,stalking,location_shared,PELIGRO,1.000,True,False,0.780,coercion,PASS
151,manda fotos sin ropa,PELIGRO,4,sextort_request,nude_request,PELIGRO,0.833,False,False,0.833,coercion,PASS
152,mandame nudes ahora,PELIGRO,4,sextort_request,nudes_now,PELIGRO,0.712,False,False,0.712,coercion,PASS
153,manda video sin ropa,PELIGRO,4,sextort_request,video_request,PELIGRO,0.793,False,False,0.793,explotacion,PASS
154,mandame fotos o las publico en tu escuela,PELIGRO,4,sextort_threat,publish_school,PELIGRO,0.801,False,False,0.801,coercion,PASS
155,si no mandas las publico todas,PELIGRO,4,sextort_threat,publish_all,PELIGRO,0.800,False,False,0.800,coercion,PASS
156,voy a mostrar tus fotos a tu mamá,PELIGRO,4,sextort_family,mother_show,PELIGRO,1.000,True,False,0.800,coercion,PASS
157,le voy a mandar todo a tu papá,PELIGRO,4,sextort_family,father_show,PELIGRO,0.799,False,False,0.799,coercion,PASS
158,voy a publicar el video,PELIGRO,4,sextort_publish,video_publish,PELIGRO,0.772,False,False,0.772,coercion,PASS
159,te subo a páginas porno,PELIGRO,4,sextort_porn,porn_upload,PELIGRO,1.000,True,False,0.800,coercion,PASS
160,le mando todo a tus contactos,PELIGRO,4,sextort_contacts,contacts_share,PELIGRO,0.742,False,False,0.742,coercion,PASS
161,me piden fotos íntimas,PELIGRO,4,victim_sextort_request,intimate_received,PELIGRO,0.802,False,False,0.802,coercion,PASS
162,me piden nudes amenazandome,PELIGRO,4,victim_sextort_threat,nudes_threatened,PELIGRO,1.000,True,False,0.898,explotacion,PASS
163,me amenazan con publicar mis fotos,PELIGRO,4,victim_sextort_threat,publish_received,PELIGRO,1.000,True,False,0.800,coercion,PASS
164,me amenazan con publicar mis videos,PELIGRO,4,victim_sextort_threat,video_publish_received,PELIGRO,1.000,True,False,0.800,coercion,PASS
165,me dicen que si no mando me publican,PELIGRO,4,victim_sextort_conditional,publish_conditional,PELIGRO,1.000,True,False,0.800,coercion,PASS
166,me chantajearon con fotos mías,PELIGRO,4,victim_sextort_blackmail,blackmailed,PELIGRO,1.000,True,False,0.800,coercion,PASS
167,me extorsionan con mis fotos,PELIGRO,4,victim_extortion,extorted,PELIGRO,0.796,False,False,0.796,coercion,PASS
168,me piden video llamada sin ropa,PELIGRO,4,victim_sextort_video,video_call,PELIGRO,1.000,True,False,0.800,coercion,PASS
169,me hicieron deepfakes con mis fotos,PELIGRO,4,victim_deepfake,deepfake_received,PELIGRO,0.759,False,False,0.759,coercion,PASS
170,me sacaron videos sin permiso,PELIGRO,4,victim_csam,non_consensual,PELIGRO,1.000,True,False,0.900,explotacion,PASS
171,ve armado mañana,PELIGRO,4,operative_order,armed_order,PELIGRO,1.000,True,False,0.684,explotacion,PASS
172,trae la coca al punto,PELIGRO,4,drug_transport,coca_transport,PELIGRO,1.000,True,False,0.899,explotacion,PASS
173,tienes que levantar a alguien,PELIGRO,4,kidnap_order,kidnap,PELIGRO,1.000,True,False,0.884,explotacion,PASS
174,vamos al punto a vender,PELIGRO,4,drug_sales,sell_at_point,PELIGRO,0.889,False,False,0.889,explotacion,PASS
175,te toca cargar piedra,PELIGRO,4,drug_transport,piedra_transport,PELIGRO,1.000,True,False,0.899,explotacion,PASS
176,hay que callar al cuervo,PELIGRO,4,silencing_order,silence_order,PELIGRO,1.000,True,False,0.899,explotacion,PASS
177,le sacas el alma,PELIGRO,4,kill_order_jerga,soul_extract,PELIGRO,1.000,True,False,0.881,explotacion,PASS
178,hay que limpiar el punto,PELIGRO,4,removal_order,clean_point,PELIGRO,1.000,True,False,0.900,explotacion,PASS
179,vas a halconear hoy,PELIGRO,4,halcon_order,halconeo_order,PELIGRO,1.000,True,False,0.898,explotacion,PASS
180,vas a vender en la prepa,PELIGRO,4,school_sales,school_drug_sales,PELIGRO,0.897,False,False,0.897,explotacion,PASS
181,me obligaron a llevar algo al punto,PELIGRO,4,victim_operative,forced_transport,PELIGRO,1.000,True,False,0.900,explotacion,PASS
182,me obligaron a vender droga en la escuela,PELIGRO,4,victim_operative,forced_school_sales,PELIGRO,1.000,True,False,0.830,coercion,PASS
183,me obligaron a reclutar a mis amigos,PELIGRO,4,victim_recruit,forced_recruit,PELIGRO,1.000,True,False,0.888,explotacion,PASS
184,me forzaron a hacer cosas peligrosas,PELIGRO,4,victim_operative,forced_dangerous,PELIGRO,1.000,True,False,0.899,explotacion,PASS
185,me hicieron entregar paquetes,PELIGRO,4,victim_operative,forced_delivery,PELIGRO,0.820,False,False,0.820,explotacion,PASS
186,deposita 5000 pesos a esta cuenta,PELIGRO,4,payment_demand,deposit_demand,PELIGRO,1.000,True,False,0.900,explotacion,PASS
187,transfiere 10 mil ahora mismo,PELIGRO,4,payment_demand,transfer_demand,PELIGRO,0.890,False,False,0.890,explotacion,PASS
188,paga gift card de Amazon o subo todo,PELIGRO,4,giftcard_extort,giftcard_amazon,PELIGRO,1.000,True,False,0.900,explotacion,PASS
189,me piden gift card de Steam,PELIGRO,4,giftcard_extort_received,giftcard_steam,PELIGRO,0.899,False,False,0.899,explotacion,PASS
190,dame los datos de tu tarjeta,PELIGRO,4,card_phishing,card_request,PELIGRO,1.000,True,False,0.877,explotacion,PASS
191,hola que onda,SEGURO,safe,greeting,casual,SEGURO,0.011,False,False,0.011,seguro,PASS
192,buenas tardes amigo,SEGURO,safe,greeting,polite,SEGURO,0.030,False,False,0.030,seguro,PASS
193,nos vemos mañana,SEGURO,safe,scheduling,tomorrow,SEGURO,0.023,False,False,0.023,seguro,PASS
194,vienes al cumple el sabado,SEGURO,safe,scheduling,birthday,SEGURO,0.000,False,False,0.000,seguro,PASS
195,vamos al cine este finde,SEGURO,safe,scheduling,cinema,SEGURO,0.280,False,False,0.000,seguro,PASS
196,como estuvo tu dia,SEGURO,safe,casual,day_check,SEGURO,0.010,False,False,0.010,seguro,PASS
197,estoy bien gracias,SEGURO,safe,casual,small_talk,SEGURO,0.004,False,False,0.004,seguro,PASS
198,que vas a hacer,SEGURO,safe,casual,plans,ATENCION,0.473,False,False,0.473,coercion,FAIL_FP
199,estoy aburrido,SEGURO,safe,casual,bored,SEGURO,0.080,False,False,0.080,seguro,PASS
200,ya merito llegamos,SEGURO,safe,casual,almost_there,SEGURO,0.044,False,False,0.044,seguro,PASS
201,tengo mucha tarea,SEGURO,safe,school,homework,SEGURO,0.282,False,False,0.008,seguro,PASS
202,me reprobaron en mate,SEGURO,safe,school,failed_math,SEGURO,0.005,False,False,0.005,seguro,PASS
203,saque buena nota en historia,SEGURO,safe,school,good_grade,SEGURO,0.000,False,False,0.000,seguro,PASS
204,el examen estuvo facil,SEGURO,safe,school,easy_exam,SEGURO,0.002,False,False,0.002,seguro,PASS
205,la clase de inglés me aburre,SEGURO,safe,school,boring_class,SEGURO,0.021,False,False,0.000,seguro,PASS
206,voy a estudiar para el final,SEGURO,safe,school,studying,SEGURO,0.000,False,False,0.000,seguro,PASS
207,el maestro me regañó,SEGURO,safe,school,teacher_scold,SEGURO,0.005,False,False,0.005,seguro,PASS
